RIGOL TECHNOLOGIES,DP821A,DP8E165350191,00.01.13
Date, Time, voltage1, current1, power1, voltage2, current2, power2
2023-07-28, 16:57:14, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:15, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:16, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:17, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:18, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:19, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:20, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:22, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:23, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:24, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:25, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:26, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:27, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:28, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:29, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:30, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 16:57:31, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:41, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:42, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:43, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:44, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:45, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:46, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:47, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:48, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:49, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:50, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:51, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:52, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:53, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:54, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:56, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:57, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:58, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:02:59, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:00, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:01, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:02, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:03, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:04, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:05, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:06, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:07, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:08, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:10, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:11, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:12, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:13, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:14, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:15, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:16, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:17, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:18, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:19, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:20, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:21, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:22, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:23, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:24, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:25, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:26, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:27, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:29, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:30, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:31, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:32, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:33, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:34, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:35, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:36, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:37, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:38, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:39, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:40, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:41, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:43, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:44, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:45, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:46, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:47, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:48, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
