Address,Status,Manufacturer,Model,SN,BaudRate
USB0::0x1AB1::0x0E11::DP8E165350191::INSTR,True,RIGOL TECHNOLOGIES,DP821A,DP8E165350191,9600,
ASRL1::INSTR,False,
ASRL4::INSTR,True,Stanford Research Systems,SG384,s/n001513,115200,
